name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,brand,Kebutuhan_Tier,brand_encoded,target_encoded
Intel Celeron G3920 @ 2.90GHz,1017.98,51.0,2016-06-01,FCLGA1151,Desktop,2900.0,0.0,1,2,1,2081,27,Intel,Casual / Office,1,0
Intel Celeron G3930 @ 2.90GHz,29.99,51.0,2017-02-01,FCLGA1151,Desktop,2900.0,0.0,1,2,1,2122,241,Intel,Casual / Office,1,0
Intel Celeron G3930T @ 2.70GHz,94.0,35.0,2018-11-01,FCLGA1151,Desktop,2700.0,0.0,1,2,1,2229,4,Intel,Casual / Office,1,0
Intel Celeron G3930TE @ 2.70GHz,42.0,35.0,2019-08-01,FCLGA1151,Desktop,2700.0,0.0,1,2,1,2143,4,Intel,Casual / Office,1,0
Intel Celeron G3950 @ 3.00GHz,143.0,51.0,2017-03-01,FCLGA1151,Desktop,3000.0,0.0,1,2,1,2049,8,Intel,Casual / Office,1,0
Intel Celeron G440 @ 1.60GHz,91.0,35.0,2012-02-01,LGA1155,Desktop,1600.0,0.0,1,1,1,3569,21,Intel,Casual / Office,1,0
Intel Celeron G460 @ 1.80GHz,55.0,35.0,2012-02-01,LGA1155,Desktop,1800.0,0.0,1,1,2,3535,48,Intel,Casual / Office,1,0
Intel Celeron G465 @ 1.90GHz,40.0,35.0,2012-01-01,LGA1155,Desktop,1900.0,0.0,1,1,2,3462,25,Intel,Casual / Office,1,0
Intel Celeron G470 @ 2.00GHz,35.15,35.0,2014-03-01,LGA1155,Desktop,2000.0,0.0,1,1,2,3390,42,Intel,Casual / Office,1,0
Intel Celeron G4900 @ 3.10GHz,86.38,54.0,2018-06-01,FCLGA1151-2,Desktop,3100.0,0.0,1,2,1,2016,69,Intel,Casual / Office,1,0
Intel Celeron G4900T @ 2.90GHz,68.95,35.0,2018-03-01,FCLGA1151-2,Desktop,2900.0,0.0,1,2,1,2112,18,Intel,Casual / Office,1,0
Intel Celeron G4920 @ 3.20GHz,126.89,54.0,2018-08-01,FCLGA1151-2,Desktop,3200.0,0.0,1,2,1,2032,12,Intel,Casual / Office,1,0
Intel Celeron G4930 @ 3.20GHz,52.99,54.0,2019-09-01,FCLGA1151-2,Desktop,3200.0,0.0,1,2,1,1960,15,Intel,Casual / Office,1,0
Intel Celeron G4930T @ 3.00GHz,42.0,35.0,2020-07-01,FCLGA1151,Desktop,3000.0,0.0,1,2,1,2105,9,Intel,Casual / Office,1,0
Intel Celeron G4950 @ 3.30GHz,119.99,54.0,2021-03-01,FCLGA1151,Desktop,3300.0,0.0,1,2,1,1903,1,Intel,Casual / Office,1,0
Intel Celeron G530 @ 2.40GHz,24.99,65.0,2011-09-01,LGA1155,Desktop,2400.0,0.0,1,2,1,2880,441,Intel,Casual / Office,1,0
Intel Celeron G530T @ 2.00GHz,16.99,35.0,2011-01-01,LGA1155,Desktop,2000.0,0.0,1,2,1,2933,4,Intel,Casual / Office,1,0
Intel Celeron G540 @ 2.50GHz,11.03,65.0,2011-10-01,LGA1155,Desktop,2500.0,0.0,1,2,1,2860,192,Intel,Casual / Office,1,0
Intel Celeron G550 @ 2.60GHz,49.0,65.0,2012-07-01,LGA1155,Desktop,2600.0,0.0,1,2,1,2778,249,Intel,Casual / Office,1,0
Intel Celeron G555 @ 2.70GHz,53.98,65.0,2012-01-01,LGA1155,Desktop,2700.0,0.0,1,2,1,2737,13,Intel,Casual / Office,1,0
Intel Celeron G5900 @ 3.40GHz,72.49,58.0,2020-06-01,FCLGA1200,Desktop,3400.0,0.0,1,2,1,1914,16,Intel,Casual / Office,1,0
Intel Celeron G5900T @ 3.20GHz,42.0,35.0,2021-10-01,FCLGA1200,Desktop,3200.0,0.0,1,2,1,1942,2,Intel,Casual / Office,1,0
Intel Celeron G5905 @ 3.50GHz,36.99,58.0,2020-09-01,FCLGA1200,Desktop,3500.0,0.0,1,2,1,1857,43,Intel,Casual / Office,1,0
Intel Celeron G5905T @ 3.30GHz,42.0,35.0,2021-05-01,FCLGA1200,Desktop,3300.0,0.0,1,2,1,2220,10,Intel,Casual / Office,1,0
Intel Celeron G5920 @ 3.50GHz,53.0,58.0,2020-12-01,FCLGA1200,Desktop,3500.0,0.0,1,2,1,1994,3,Intel,Casual / Office,1,0
Intel Celeron G5925 @ 3.60GHz,64.99,58.0,2021-06-01,FCLGA1200,Desktop,3600.0,0.0,1,2,1,1899,5,Intel,Casual / Office,1,0
Intel Celeron G6900,98.99,46.0,2022-01-01,"LGA1700,BGA1700",Desktop,3400.0,0.0,1,2,1,1420,10,Intel,Casual / Office,1,0
Intel Celeron G6900T,42.0,35.0,2022-07-01,FCLGA1700,Desktop,2800.0,0.0,1,2,1,1507,1,Intel,Casual / Office,1,0
Intel Celeron J3455 @ 1.50GHz,349.0,10.0,2016-10-01,FCBGA1296,Desktop,1500.0,2300.0,1,4,1,2125,389,Intel,Casual / Office,1,0
Intel Celeron J4005 @ 2.00GHz,168.75,10.0,2018-02-01,FCBGA1090,Desktop,2000.0,2700.0,1,2,1,2514,65,Intel,Casual / Office,1,0
Intel Celeron J4105 @ 1.50GHz,107.0,10.0,2018-01-01,FCBGA1090,Desktop,1500.0,2500.0,1,4,1,1840,178,Intel,Casual / Office,1,0
Intel Celeron J6412 @ 2.00GHz,54.0,10.0,2021-08-01,FCBGA1493,Mobile/Embedded,2000.0,2600.0,1,4,1,1523,32,Intel,Casual / Office,1,0
Intel Celeron M 1.00GHz,13.99,0.0,2009-02-01,Unknown,Laptop,1000.0,0.0,1,1,1,3949,4,Intel,Casual / Office,1,0
Intel Celeron N2810 @ 2.00GHz,139.99,7.5,2013-12-01,FCBGA1170,Laptop,2000.0,0.0,1,2,1,3575,30,Intel,Casual / Office,1,0
Intel Celeron N2820 @ 2.13GHz,225.0,7.5,2014-01-01,FCBGA1170,Laptop,2130.0,2390.0,1,2,1,3518,226,Intel,Casual / Office,1,0
Intel Celeron N2830 @ 2.16GHz,149.99,7.5,2014-04-01,FCBGA1170,Laptop,2160.0,2410.0,1,2,1,3456,793,Intel,Casual / Office,1,0
Intel Celeron N3050 @ 1.60GHz,170.0,6.0,2015-07-01,FCBGA1170,Laptop,1600.0,2160.0,1,2,1,3398,797,Intel,Casual / Office,1,0
Intel Celeron N3060 @ 1.60GHz,282.0,6.0,2016-04-01,Unknown,Laptop,1600.0,2480.0,1,2,1,3331,741,Intel,Casual / Office,1,0
Intel Celeron N3160 @ 1.60GHz,349.0,6.0,2016-06-01,FCBGA1170,Laptop,1600.0,2240.0,1,4,1,2844,140,Intel,Casual / Office,1,0
Intel Celeron N3350 @ 1.10GHz,275.49,6.0,2016-11-01,FCBGA1296,Laptop,1100.0,2400.0,1,2,1,2871,792,Intel,Casual / Office,1,0
Intel Celeron N3450 @ 1.10GHz,185.08,6.0,2016-12-01,FCBGA1296,Laptop,1100.0,2200.0,1,4,1,2271,494,Intel,Casual / Office,1,0
Intel Celeron N4000 @ 1.10GHz,107.0,6.0,2018-04-01,FCBGA1090,Laptop,1100.0,2600.0,1,2,1,2629,632,Intel,Casual / Office,1,0
Intel Celeron N4100 @ 1.10GHz,107.0,6.0,2018-05-01,FCBGA1090,Laptop,1100.0,2400.0,1,4,1,2020,362,Intel,Casual / Office,1,0
Intel Celeron N5105 @ 2.00GHz,299.0,10.0,2021-06-01,FCBGA1338,Mobile/Embedded,2000.0,2900.0,1,4,1,1487,156,Intel,Casual / Office,1,0
Intel Celeron N6210 @ 1.20GHz,54.0,6.5,2022-10-01,Unknown,Mobile/Embedded,1200.0,2600.0,1,2,1,2456,1,Intel,Casual / Office,1,0
Intel Celeron N6211 @ 1.20GHz,54.0,6.5,2021-04-01,FCBGA1493,Mobile/Embedded,1200.0,3000.0,1,2,1,2130,2,Intel,Casual / Office,1,0
Intel Celeron T1600 @ 1.66GHz,19.99,35.0,2009-01-01,Unknown,Laptop,1660.0,0.0,1,2,1,3483,70,Intel,Casual / Office,1,0
Intel Core 860 @ 2.80GHz,270.0,0.0,2010-01-01,Unknown,Unknown,2800.0,0.0,1,4,2,1885,2,Intel,Casual / Office,1,0
Intel Core Duo T2400 @ 1.83GHz,16.0,31.0,2009-03-01,BGA479,Laptop,1830.0,0.0,1,2,1,3646,302,Intel,Casual / Office,1,0
Intel Core Duo T2500 @ 2.00GHz,119.99,31.0,2009-03-01,BGA479,Laptop,2000.0,0.0,1,2,1,3586,146,Intel,Casual / Office,1,0
Intel Core i3-1005G1 @ 1.20GHz,281.0,15.0,2019-09-01,FCBGA1526,Laptop,1200.0,3400.0,1,2,2,1331,813,Intel,Casual / Office,1,0
Intel Core i3-10100 @ 3.60GHz,104.0,65.0,2020-05-01,FCLGA1200,Desktop,3600.0,4300.0,1,4,2,832,813,Intel,Gaming,1,2
Intel Core i3-10100E @ 3.20GHz,125.0,65.0,2021-11-01,FCLGA1200,"Desktop, Mobile/Embedded",3200.0,3800.0,1,4,2,879,1,Intel,Gaming,1,2
Intel Core i3-10100F @ 3.60GHz,75.99,65.0,2020-10-01,FCLGA1200,Desktop,3600.0,4300.0,1,4,2,830,825,Intel,Gaming,1,2
Intel Core i3-10100T @ 3.00GHz,122.0,35.0,2020-07-01,FCLGA1200,Laptop,3000.0,3800.0,1,4,2,966,57,Intel,Gaming,1,2
Intel Core i3-10100TE @ 2.30GHz,138.0,35.0,2022-10-01,LGA 1200,Mobile/Embedded,2300.0,3600.0,1,4,2,901,1,Intel,Gaming,1,2
Intel Core i3-10105 @ 3.70GHz,114.99,65.0,2021-04-01,FCLGA1200,Desktop,3700.0,4400.0,1,4,2,836,224,Intel,Gaming,1,2
Intel Core i3-10105F @ 3.70GHz,85.19,0.0,2021-03-01,FCLGA1200,Desktop,3700.0,4400.0,1,4,2,813,358,Intel,Gaming,1,2
Intel Core i3-10105T @ 3.00GHz,122.0,35.0,2021-06-01,FCLGA1200,Desktop,3000.0,3900.0,1,4,2,906,22,Intel,Gaming,1,2
Intel Core i3-10110U @ 2.10GHz,434.17,15.0,2019-10-01,FCBGA1528,Laptop,2100.0,4100.0,1,2,2,1516,477,Intel,Gaming,1,2
Intel Core i3-10110Y @ 1.00GHz,287.0,7.0,2020-05-01,UTFCBGA1377,Laptop,1000.0,4000.0,1,2,2,1696,7,Intel,Gaming,1,2
Intel Core i3-10300 @ 3.70GHz,169.99,65.0,2020-06-01,FCLGA1200,Desktop,3700.0,4400.0,1,4,2,795,20,Intel,Gaming,1,2
Intel Core i3-10300T @ 3.00GHz,193.97,35.0,2020-09-01,FCLGA1200,Desktop,3000.0,3900.0,1,4,2,882,6,Intel,Gaming,1,2
Intel Core i3-10305 @ 3.80GHz,169.99,65.0,2021-06-01,FCLGA1200,Desktop,3800.0,4500.0,1,4,2,812,3,Intel,Gaming,1,2
Intel Core i3-10305T @ 3.00GHz,143.0,35.0,2021-06-01,FCLGA1200,Desktop,3000.0,4000.0,1,4,2,888,1,Intel,Gaming,1,2
Intel Core i3-10320 @ 3.80GHz,139.99,65.0,2020-12-01,FCLGA1200,Desktop,3800.0,4600.0,1,4,2,746,24,Intel,Gaming,1,2
Intel Core i3-10325 @ 3.90GHz,190.1,65.0,2022-01-01,FCLGA1200,Desktop,3900.0,4700.0,1,4,2,731,4,Intel,Gaming,1,2
Intel Core i3-1110G4 @ 1.80GHz,281.0,0.0,2022-02-01,FCBGA1598,Mobile/Embedded,1800.0,3900.0,1,2,2,1647,1,Intel,Gaming,1,2
Intel Core i3-1115G4 @ 3.00GHz,281.0,0.0,2020-11-01,FCBGA1449,Laptop,3000.0,4100.0,1,2,2,1134,643,Intel,Gaming,1,2
Intel Core i3-1115G4E @ 3.00GHz,285.0,15.0,2022-02-01,BGA 1449,Mobile/Embedded,2200.0,3900.0,1,2,2,1204,3,Intel,Gaming,1,2
Intel Core i3-1115GRE @ 3.00GHz,338.0,15.0,2022-01-01,FCBGA1449,Mobile/Embedded,3000.0,3900.0,1,2,2,1524,3,Intel,Gaming,1,2
Intel Core i3-12100,122.0,60.0,2022-01-01,FCLGA1700,Desktop,3300.0,4300.0,1,4,2,571,304,Intel,Gaming,1,2
Intel Core i3-12100F,115.99,58.0,2022-01-01,FCLGA1700,Desktop,3300.0,4300.0,1,4,2,544,515,Intel,Gaming,1,2
Intel Core i3-12100T,122.0,35.0,2022-03-01,FCLGA1700,Desktop,2200.0,4100.0,1,4,2,625,12,Intel,Gaming,1,2
Intel Core i3-12100TE,125.0,35.0,2022-08-01,FCLGA1700,"Laptop, Mobile/Embedded",2100.0,4000.0,1,4,2,615,1,Intel,Gaming,1,2
Intel Core i3-1215UE,313.0,28.0,2022-11-01,FCBGA1744,Mobile/Embedded,0.0,4400.0,1,2,2,819,1,Intel,Gaming,1,2
Intel Core i3-1220P,281.0,28.0,2022-04-01,FCBGA1744,Laptop,1500.0,4400.0,1,2,2,508,19,Intel,Gaming,1,2
Intel Core i3-12300,143.0,60.0,2022-02-01,LGA 1700,Desktop,3500.0,4400.0,1,4,2,514,5,Intel,Gaming,1,2
Intel Core i3-12300T,157.0,35.0,2022-11-01,FCLGA1700,Desktop,2300.0,4200.0,1,4,2,565,1,Intel,Gaming,1,2
Intel Core i3-2100 @ 3.10GHz,49.0,65.0,2011-01-01,LGA1155,Desktop,3100.0,0.0,1,2,2,2360,3591,Intel,Casual / Office,1,0
Intel Core i3-2100T @ 2.50GHz,20.98,35.0,2011-02-01,LGA1155,Desktop,2500.0,0.0,1,2,2,2590,55,Intel,Casual / Office,1,0
Intel Core i3-2102 @ 3.10GHz,58.0,65.0,2016-03-01,FCLGA1155,Desktop,3100.0,0.0,1,2,2,2240,3,Intel,Casual / Office,1,0
Intel Core i3-2105 @ 3.10GHz,112.97,65.0,2011-07-01,LGA1155,Desktop,3100.0,0.0,1,2,2,2337,111,Intel,Casual / Office,1,0
Intel Core i3-2120 @ 3.30GHz,32.0,65.0,2011-02-01,LGA1155,Desktop,3300.0,0.0,1,2,2,2289,4361,Intel,Casual / Office,1,0
Intel Core i3-2120T @ 2.60GHz,75.0,35.0,2011-09-01,LGA1155,Desktop,2600.0,0.0,1,2,2,2588,119,Intel,Casual / Office,1,0
Intel Core i3-2125 @ 3.30GHz,152.0,65.0,2011-09-01,LGA1155,Desktop,3300.0,0.0,1,2,2,2201,101,Intel,Casual / Office,1,0
Intel Core i3-2130 @ 3.40GHz,53.19,65.0,2011-09-01,LGA1155,Desktop,3400.0,0.0,1,2,2,2248,531,Intel,Casual / Office,1,0
Intel Core i3-2310E @ 2.10GHz,225.0,35.0,2012-08-01,FCBGA1023,Laptop,2100.0,0.0,1,2,2,2354,2,Intel,Casual / Office,1,0
Intel Core i3-2310M @ 2.10GHz,39.95,35.0,2011-03-01,BGA1023,Laptop,2100.0,0.0,1,2,2,2789,2346,Intel,Casual / Office,1,0
Intel Core i3-2328M @ 2.20GHz,150.11,35.0,2012-08-01,PGA988,Laptop,2200.0,0.0,1,2,2,2772,727,Intel,Casual / Office,1,0
Intel Core i3-2330M @ 2.20GHz,39.95,35.0,2011-08-01,BGA1023,Laptop,2200.0,0.0,1,2,2,2764,1878,Intel,Casual / Office,1,0
Intel Core i3-2350M @ 2.30GHz,26.81,35.0,2011-10-01,PGA988B,Laptop,2300.0,0.0,1,2,2,2760,2293,Intel,Casual / Office,1,0
Intel Core i3-2370M @ 2.40GHz,36.99,35.0,2012-06-01,PGA988B,Laptop,2400.0,0.0,1,2,2,2672,864,Intel,Casual / Office,1,0
